family_a	family_b	best_evalue
RF00047	RF04054	0.00012
RF00047	RF04061	0.00059
RF00047	RF04125	0.00011
RF00047	RF04187	0.00075
RF00047	RF04210	4.5e-05
RF00049	RF00279	0.0041
RF00049	RF00296	0.0013
RF00049	RF00493	0.00054
RF00049	RF00577	0.0064
RF00049	RF00592	0.00037
RF00049	RF01192	0.0054
RF00049	RF01203	1e-06
RF00049	RF01618	0.0097
RF00050	RF00174	0.0057
RF00050	RF01689	0.0077
RF00051	RF00246	4.4e-06
RF00051	RF00639	0.0069
RF00051	RF00804	2.6e-05
RF00051	RF00834	0.0014
RF00051	RF00858	0.00034
RF00051	RF00932	0.0041
RF00051	RF00969	0.0093
RF00051	RF00994	7e-05
RF00051	RF01011	3e-07
RF00051	RF02006	0.0014
RF00051	RF03220	0.0074
RF00051	RF03287	1.7e-07
RF00051	RF03403	0.0082
RF00051	RF03454	0.0092
RF00051	RF03457	7.7e-06
RF00051	RF03516	6.4e-05
RF00051	RF03574	9.2e-09
RF00051	RF03588	0.00031
RF00051	RF03747	0.00018
RF00051	RF03801	0.0025
RF00051	RF03849	0.009
RF00051	RF03857	8.2e-05
RF00051	RF03862	3.1e-05
RF00051	RF03974	6.2e-06
RF00051	RF03975	0.0014
RF00051	RF04002	2.5e-05
RF00051	RF04013	3.5e-06
RF00051	RF04019	9e-06
RF00051	RF04038	0.0083
RF00051	RF04145	0.0053
RF00051	RF04197	0.00025
RF00052	RF00707	0.00015
RF00052	RF00719	3.5e-05
RF00052	RF00897	0.00015
RF00052	RF01020	0.01
RF00052	RF03191	0.0025
RF00052	RF03206	0.00076
RF00052	RF03253	0.0013
RF00052	RF03340	0.00045
RF00052	RF03341	0.0026
RF00052	RF03349	2e-05
RF00052	RF03397	0.0011
RF00052	RF03426	6.8e-06
RF00052	RF03447	0.0029
RF00052	RF03509	0.00059
RF00052	RF03560	0.0012
RF00052	RF03587	0.00087
RF00052	RF03590	0.0017
RF00052	RF03677	1.9e-06
RF00052	RF03848	0.002
RF00052	RF03900	8.3e-07
RF00052	RF03935	0.00048
RF00052	RF03964	0.0062
RF00052	RF03992	1.1e-06
RF00052	RF04123	0.00027
RF00053	RF00256	0.00069
RF00053	RF00456	0.0042
RF00053	RF00639	0.0073
RF00053	RF00640	1e-09
RF00053	RF00685	1.6e-05
RF00053	RF00795	4.7e-05
RF00053	RF00848	0.00041
RF00053	RF00856	4e-07
RF00053	RF00870	2.5e-06
RF00053	RF00887	0.0067
RF00053	RF00910	0.00023
RF00053	RF00925	2.4e-08
RF00053	RF00961	5.2e-08
RF00053	RF00962	0.0013
RF00053	RF00972	5.5e-06
RF00053	RF01061	1.3e-07
RF00053	RF01612	0.0058
RF00053	RF03173	0.0035
RF00053	RF03235	4.7e-08
RF00053	RF03237	0.0011
RF00053	RF03244	5.1e-08
RF00053	RF03278	2.1e-05
RF00053	RF03316	0.00031
RF00053	RF03323	7.1e-07
RF00053	RF03331	5.7e-07
RF00053	RF03354	0.0021
RF00053	RF03366	1.7e-05
RF00053	RF03423	1.2e-06
RF00053	RF03426	7.6e-05
RF00053	RF03450	1.3e-05
RF00053	RF03459	0.001
RF00053	RF03474	0.0097
RF00053	RF03509	7.7e-05
RF00053	RF03557	8.7e-09
RF00053	RF03573	5.4e-05
RF00053	RF03578	0.00013
RF00053	RF03600	2.3e-05
RF00053	RF03607	0.00028
RF00053	RF03614	1.3e-07
RF00053	RF03629	4.7e-06
RF00053	RF03634	4.4e-09
RF00053	RF03665	3.5e-08
RF00053	RF03769	8.1e-05
RF00053	RF03800	2.8e-05
RF00053	RF03831	0.00016
RF00053	RF03843	0.0014
RF00053	RF03851	0.00031
RF00053	RF03857	7.9e-05
RF00053	RF03879	0.00017
RF00053	RF03916	4.3e-05
RF00053	RF03922	0.0018
RF00053	RF03938	0.0025
RF00053	RF03951	0.00045
RF00053	RF03964	1.2e-06
RF00053	RF03993	1.1e-06
RF00053	RF04003	1.1e-06
RF00053	RF04019	9.8e-07
RF00053	RF04036	6.8e-08
RF00053	RF04054	4.7e-07
RF00053	RF04059	7e-05
RF00053	RF04079	0.00035
RF00053	RF04111	0.0042
RF00053	RF04125	2.1e-08
RF00053	RF04145	0.0093
RF00053	RF04148	4.5e-06
RF00053	RF04151	3.5e-07
RF00053	RF04165	0.00091
RF00053	RF04167	0.00034
RF00053	RF04201	7.1e-07
RF00053	RF04205	0.0018
RF00053	RF04239	1.3e-05
RF00053	RF04262	5.4e-09
RF00054	RF01138	0.0081
RF00056	RF00090	0.004
RF00056	RF00231	0.005
RF00057	RF02628	0.0021
RF00057	RF02837	0.00065
RF00058	RF00060	0.0063
RF00058	RF00065	0.00013
RF00058	RF00094	0.00017
RF00060	RF00064	8.7e-05
RF00061	RF00209	1.6e-20
RF00062	RF02656	0.00046
RF00065	RF00095	5.2e-11
RF00065	RF01119	0.0074
RF00065	RF01122	0.0022
RF00065	RF01133	0.00044
RF00065	RF01134	0.0015
RF00065	RF01136	7.9e-05
RF00065	RF01144	0.00098
RF00065	RF01147	0.0027
RF00065	RF01152	0.0035
RF00065	RF01304	0.0043
RF00065	RF01309	0.0041
RF00065	RF01469	8.5e-06
RF00065	RF03251	0.0085
RF00065	RF03888	0.002
RF00067	RF01226	0.0023
RF00067	RF01623	0.0025
RF00067	RF01864	8.9e-08
RF00067	RF02287	5.2e-05
RF00067	RF02539	0.00049
RF00067	RF03451	0.002
RF00069	RF00150	0.0083
RF00069	RF00202	0.0011
RF00069	RF01592	2e-06
RF00069	RF02407	0.004
RF00070	RF00087	0.0076
RF00070	RF00151	0.00079
RF00070	RF00479	0.0047
RF00070	RF01153	0.0011
RF00070	RF01198	3.1e-05
RF00070	RF01600	0.0079
RF00071	RF00281	0.0002
RF00071	RF00318	0.0072
RF00071	RF00331	0.0072
RF00071	RF00721	0.0044
RF00071	RF01423	0.0022
RF00073	RF00254	0.00028
RF00073	RF00661	0.0001
RF00073	RF00676	1.6e-05
RF00073	RF00690	0.0079
RF00073	RF00695	0.0006
RF00073	RF00706	6.3e-08
RF00073	RF00707	1.9e-08
RF00073	RF00714	9.8e-09
RF00073	RF00768	5.6e-07
RF00073	RF00771	6.7e-08
RF00073	RF00839	0.0014
RF00073	RF00846	0.0003
RF00073	RF00858	0.00039
RF00073	RF00864	0.00062
RF00073	RF00896	0.00078
RF00073	RF00904	0.00097
RF00073	RF00908	3.3e-06
RF00073	RF00956	3.4e-06
RF00073	RF00965	0.0023
RF00073	RF00969	0.0094
RF00073	RF00994	0.00023
RF00073	RF01943	3.7e-05
RF00073	RF02006	2.4e-07
RF00073	RF02244	1.9e-05
RF00073	RF02400	3.2e-08
RF00073	RF03182	5.2e-08
RF00073	RF03191	2.9e-06
RF00073	RF03192	0.0045
RF00073	RF03225	6.7e-06
RF00073	RF03306	0.0045
RF00073	RF03308	0.0015
RF00073	RF03316	1.6e-06
RF00073	RF03327	0.00015
RF00073	RF03329	2.1e-07
RF00073	RF03356	1.8e-06
RF00073	RF03360	0.0016
RF00073	RF03373	5.5e-06
RF00073	RF03375	4.3e-06
RF00073	RF03423	5.6e-06
RF00073	RF03450	6.6e-06
RF00073	RF03457	5.4e-10
RF00073	RF03557	8.7e-07
RF00073	RF03573	2.2e-06
RF00073	RF03629	3.7e-06
RF00073	RF03703	0.00043
RF00073	RF03777	4.2e-07
RF00073	RF03792	0.0021
RF00073	RF03799	1.7e-05
RF00073	RF03814	1.4e-06
RF00073	RF03831	0.0077
RF00073	RF03843	7.5e-05
RF00073	RF03846	2.3e-06
RF00073	RF03973	0.00014
RF00073	RF03980	1.3e-06
RF00073	RF04007	0.0048
RF00073	RF04050	4e-05
RF00073	RF04079	0.00079
RF00073	RF04085	0.0048
RF00073	RF04094	0.00071
RF00073	RF04102	0.00012
RF00073	RF04108	5.9e-07
RF00073	RF04139	2.1e-05
RF00073	RF04159	0.0016
RF00073	RF04164	7.3e-07
RF00073	RF04176	0.00018
RF00073	RF04185	0.0067
RF00073	RF04187	1.6e-06
RF00073	RF04235	1.5e-05
RF00073	RF04288	3.2e-06
RF00074	RF00691	0.00099
RF00074	RF00804	0.00051
RF00074	RF00810	0.0031
RF00074	RF00812	3.5e-08
RF00074	RF00855	0.0074
RF00074	RF00901	2e-07
RF00074	RF01024	0.0082
RF00074	RF03284	0.00073
RF00074	RF03394	0.00098
RF00074	RF03423	0.0024
RF00074	RF03616	8.8e-05
RF00074	RF03631	2.2e-05
RF00074	RF03656	0.0015
RF00074	RF03719	0.0001
RF00074	RF03722	0.00071
RF00074	RF03734	3.1e-08
RF00074	RF03813	0.0079
RF00074	RF04003	0.00096
RF00074	RF04006	1.4e-05
RF00074	RF04054	2.2e-06
RF00074	RF04061	0.0042
RF00074	RF04112	0.00015
RF00074	RF04145	0.00067
RF00074	RF04202	6.9e-05
RF00074	RF04209	0.0088
RF00074	RF04211	8.1e-06
RF00074	RF04251	0.00011
RF00075	RF00704	0.00036
RF00075	RF00721	0.00033
RF00075	RF00796	1.1e-05
RF00075	RF01000	0.0057
RF00075	RF01011	0.0037
RF00075	RF01013	6.6e-05
RF00075	RF02625	2.3e-05
RF00075	RF03306	8.2e-07
RF00075	RF03338	5e-05
RF00075	RF03516	0.00032
RF00075	RF03557	4.6e-05
RF00075	RF03598	1.5e-06
RF00075	RF03634	0.00026
RF00075	RF03693	8.6e-05
RF00075	RF03702	8.8e-05
RF00075	RF03744	0.006
RF00075	RF03761	3.5e-05
RF00075	RF03785	2.3e-05
RF00075	RF03880	0.002
RF00075	RF03974	2.7e-06
RF00075	RF04055	0.0087
RF00075	RF04118	1.8e-05
RF00075	RF04125	1.9e-07
RF00075	RF04148	6.7e-08
RF00075	RF04172	1e-05
RF00075	RF04205	5.8e-06
RF00075	RF04206	5.4e-05
RF00075	RF04241	3.3e-05
RF00075	RF04263	0.00086
RF00076	RF00833	5.5e-06
RF00076	RF03278	2.8e-05
RF00076	RF03404	0.00067
RF00076	RF03423	0.0088
RF00076	RF03802	0.00083
RF00076	RF03818	0.00078
RF00076	RF04069	7.6e-06
RF00076	RF04081	0.0061
RF00076	RF04144	0.00065
RF00076	RF04239	0.0013
RF00076	RF04263	1.5e-06
RF00077	RF02601	0.0024
RF00079	RF00121	0.0011
RF00079	RF00512	5.4e-06
RF00079	RF00534	0.009
RF00079	RF02095	0.0034
RF00079	RF03421	0.0071
RF00080	RF02617	0.00013
RF00082	RF01409	0.0033
RF00082	RF02880	0.0032
RF00083	RF00128	1.2e-17
RF00083	RF02376	0.0053
RF00083	RF02901	0.0017
RF00084	RF00166	4.8e-05
RF00084	RF00506	0.00075
RF00084	RF00766	0.00094
RF00084	RF00873	1.9e-06
RF00084	RF01409	2.4e-05
RF00084	RF02057	0.00078
RF00084	RF02353	0.00015
RF00084	RF02376	0.00021
RF00084	RF02432	1.9e-05
RF00084	RF02601	0.00073
RF00084	RF02621	2.9e-06
RF00084	RF02728	0.00055
RF00084	RF02767	3.2e-10
RF00084	RF03269	2.8e-06
RF00084	RF03360	0.00056
RF00084	RF03556	8.9e-08
RF00084	RF03583	4.9e-06
RF00084	RF03598	0.00017
RF00084	RF03629	4.5e-05
RF00084	RF03637	5.5e-08
RF00084	RF03669	0.0072
RF00084	RF03713	0.0043
RF00084	RF03778	0.0018
RF00084	RF03792	0.0015
RF00084	RF03831	7.6e-07
RF00084	RF03846	5.8e-07
RF00084	RF03862	0.00052
RF00084	RF04050	0.00016
RF00084	RF04148	0.0034
RF00084	RF04159	0.00086
RF00084	RF04164	0.00051
RF00084	RF04203	0.0056
RF00084	RF04246	0.00019
RF00084	RF04262	0.0069
RF00086	RF00273	0.00079
RF00086	RF00289	0.0017
RF00086	RF00577	0.00098
RF00086	RF01191	4.3e-05
RF00086	RF02303	0.0074
RF00086	RF02408	0.005
RF00087	RF00136	0.0017
RF00087	RF00151	0.00025
RF00087	RF00273	8.4e-05
RF00087	RF00324	0.0078
RF00087	RF00330	0.00087
RF00087	RF00611	8.7e-05
RF00087	RF01153	0.00094
RF00087	RF01618	0.0046
RF00089	RF00213	0.00085
RF00089	RF01177	0.0014
RF00089	RF01285	0.00054
RF00089	RF01301	8.7e-05
RF00089	RF01563	0.0003
RF00089	RF01587	0.0024
RF00089	RF01646	1.8e-06
RF00089	RF01856	0.0031
RF00089	RF02288	0.0078
RF00089	RF02473	0.00019
RF00090	RF00858	0.0039
RF00090	RF00926	0.00061
RF00090	RF01230	0.0065
RF00090	RF01263	0.00013
RF00090	RF01658	4.6e-05
RF00090	RF02451	0.00091
RF00090	RF03732	0.0046
RF00091	RF01645	0.00022
RF00092	RF00265	1.7e-05
RF00093	RF00221	0.003
RF00093	RF00289	0.0031
RF00093	RF01159	3.2e-06
RF00093	RF01168	1.6e-05
RF00093	RF01605	4e-08
RF00094	RF02682	0.0028
RF00095	RF01119	1e-05
RF00095	RF01120	0.0014
RF00095	RF01121	0.0019
RF00095	RF01122	1.1e-07
RF00095	RF01123	8.1e-06
RF00095	RF01124	0.00033
RF00095	RF01126	3.4e-12
RF00095	RF01128	0.00026
RF00095	RF01129	1.1e-05
RF00095	RF01130	0.00013
RF00095	RF01131	1.5e-08
RF00095	RF01132	1.5e-05
RF00095	RF01133	2.2e-09
RF00095	RF01134	0.0014
RF00095	RF01136	6.7e-07
RF00095	RF01138	3.2e-06
RF00095	RF01139	0.0011
RF00095	RF01140	1.9e-05
RF00095	RF01141	0.00024
RF00095	RF01144	1.2e-05
RF00095	RF01145	2.2e-05
RF00095	RF01147	2.2e-11
RF00095	RF01149	8.3e-06
RF00095	RF01150	0.00031
RF00095	RF01152	2e-06
RF00095	RF01273	2.1e-05
RF00095	RF01274	1.3e-05
RF00095	RF01303	0.00082
RF00095	RF01304	0.00071
RF00095	RF01305	5.8e-06
RF00095	RF01306	0.0042
RF00095	RF01308	0.0015
RF00095	RF01309	3.6e-08
RF00095	RF01310	5.7e-05
RF00095	RF01312	0.00012
RF00100	RF01052	7.5e-10
RF00100	RF01464	0.0064
RF00100	RF03558	0.0024
RF00100	RF03774	3e-05
RF00101	RF00111	4.9e-25
RF00101	RF02451	0.0065
RF00102	RF00974	0.0015
RF00102	RF02556	0.0026
RF00102	RF03413	0.0055
RF00102	RF03636	0.0016
RF00102	RF03646	0.0081
RF00102	RF03793	0.0079
RF00103	RF00254	0.00068
RF00103	RF00739	0.0072
RF00103	RF00810	0.003
RF00103	RF00965	3.6e-05
RF00103	RF01011	0.0021
RF00103	RF01464	0.00042
RF00103	RF01859	0.0023
RF00103	RF01936	4e-10
RF00103	RF02862	0.0065
RF00103	RF03187	0.0016
RF00103	RF03244	0.00026
RF00103	RF03280	0.0041
RF00103	RF03344	0.0044
RF00103	RF03406	0.0085
RF00103	RF03557	0.00065
RF00103	RF03568	0.0019
RF00103	RF03578	0.00072
RF00103	RF03641	8.3e-07
RF00103	RF03645	0.0037
RF00103	RF03654	4.3e-07
RF00103	RF03682	0.0016
RF00103	RF03704	0.002
RF00103	RF03734	0.0025
RF00103	RF03788	0.0017
RF00103	RF03798	5.7e-06
RF00103	RF03872	0.00015
RF00103	RF03880	2.1e-06
RF00103	RF04065	0.003
RF00103	RF04068	0.0023
RF00103	RF04154	0.0011
RF00103	RF04240	0.00012
RF00103	RF04241	0.00035
RF00103	RF04252	0.0034
RF00103	RF04265	7.5e-07
RF00104	RF00972	0.00033
RF00104	RF00993	0.0026
RF00104	RF03193	5.4e-05
RF00104	RF03244	0.0004
RF00104	RF03464	0.0032
RF00104	RF03489	6.7e-05
RF00104	RF03555	3.7e-05
RF00104	RF03566	0.00092
RF00104	RF03637	4.5e-06
RF00104	RF03843	0.0024
RF00104	RF04052	0.00022
RF00104	RF04077	4.9e-05
RF00104	RF04124	0.0067
RF00104	RF04151	0.0015
RF00104	RF04154	7.2e-09
RF00104	RF04176	0.0027
RF00104	RF04187	0.0002
RF00104	RF04193	1.2e-05
RF00104	RF04194	5.9e-07
RF00104	RF04259	1.8e-07
RF00104	RF04261	0.0033
RF00105	RF00159	1.8e-21
RF00105	RF00181	0.0096
RF00105	RF00318	0.0098
RF00105	RF00570	0.0018
RF00105	RF00606	0.0061
RF00105	RF01169	0.0019
RF00106	RF00499	0.0022
RF00106	RF01400	0.0068
RF00106	RF02064	0.002
RF00106	RF02223	0.0089
RF00106	RF02604	0.0051
RF00107	RF00243	2.5e-20
RF00107	RF00671	0.00021
RF00107	RF01809	4.7e-09
RF00107	RF02239	0.0022
RF00107	RF03637	0.0015
RF00107	RF04081	0.0027
RF00108	RF00577	0.001
RF00110	RF01812	0.0045
RF00111	RF02616	0.0096
RF00116	RF00506	1.6e-05
RF00116	RF03936	0.0065
RF00117	RF01390	0.00073
RF00121	RF00506	0.00056
RF00121	RF00512	8e-06
RF00121	RF00513	0.00039
RF00121	RF00519	0.0037
RF00121	RF01808	0.00047
RF00121	RF01859	0.00031
RF00121	RF02278	0.0068
RF00121	RF02621	0.0049
RF00121	RF02651	0.00034
RF00121	RF02744	0.0062
RF00125	RF01257	0.0065
RF00125	RF01408	0.0045
RF00125	RF01770	0.00013
RF00125	RF01772	0.0022
RF00125	RF03556	0.0045
RF00125	RF04199	0.0066
RF00125	RF04242	0.007
RF00126	RF00512	0.00048
RF00126	RF01388	0.0033
RF00126	RF02066	0.00079
RF00129	RF00784	0.0033
RF00129	RF02017	0.0021
RF00129	RF03177	0.0068
RF00129	RF03278	0.0051
RF00129	RF03635	0.00014
RF00129	RF03853	0.00019
RF00130	RF00178	0.0045
RF00130	RF00713	0.0065
RF00130	RF00804	0.00023
RF00130	RF00956	1.9e-05
RF00130	RF00965	5.5e-07
RF00130	RF01016	2.9e-05
RF00130	RF01253	4.2e-06
RF00130	RF03173	3.2e-05
RF00130	RF03201	0.00047
RF00130	RF03360	1.3e-07
RF00130	RF03361	0.0045
RF00130	RF03373	0.0003
RF00130	RF03423	0.00016
RF00130	RF03450	7.8e-07
RF00130	RF03454	1.6e-06
RF00130	RF03461	0.0027
RF00130	RF03506	0.0056
RF00130	RF03516	2.1e-05
RF00130	RF03629	0.0003
RF00130	RF03671	0.0033
RF00130	RF03679	0.00048
RF00130	RF03681	0.0013
RF00130	RF03703	0.0074
RF00130	RF03754	2.2e-09
RF00130	RF03757	3.9e-09
RF00130	RF03799	0.0068
RF00130	RF03862	0.0023
RF00130	RF03912	1.3e-06
RF00130	RF03937	4.7e-09
RF00130	RF03988	6.7e-09
RF00130	RF04007	1.8e-05
RF00130	RF04051	0.00043
RF00130	RF04059	0.0064
RF00130	RF04068	2.1e-07
RF00130	RF04116	0.0044
RF00130	RF04154	2e-05
RF00130	RF04216	0.0055
RF00130	RF04269	7.4e-05
RF00130	RF04270	0.00058
RF00130	RF04282	0.0003
RF00131	RF00639	0.0051
RF00131	RF00685	7e-08
RF00131	RF00815	2.8e-05
RF00131	RF00821	0.0055
RF00131	RF00840	9.3e-08
RF00131	RF00841	0.00011
RF00131	RF00905	5.5e-08
RF00131	RF00931	2.5e-07
RF00131	RF00971	0.0063
RF00131	RF02901	0.0044
RF00131	RF03373	2.6e-05
RF00131	RF03498	5.9e-08
RF00131	RF03511	8.7e-05
RF00131	RF03545	8.3e-05
RF00131	RF03607	1.3e-05
RF00131	RF03652	0.0036
RF00131	RF03713	0.0015
RF00131	RF03739	3.1e-07
RF00131	RF03757	0.0046
RF00131	RF03769	0.0004
RF00131	RF03776	0.00018
RF00131	RF03795	2e-06
RF00131	RF03812	0.00013
RF00131	RF03844	0.00056
RF00131	RF03862	3.3e-05
RF00131	RF03955	5.5e-06
RF00131	RF04038	0.00012
RF00131	RF04197	0.0029
RF00133	RF00147	0.00084
RF00133	RF00300	0.00058
RF00133	RF00344	0.0077
RF00133	RF00359	0.0048
RF00133	RF00472	0.0019
RF00133	RF00532	0.00016
RF00133	RF01182	0.0042
RF00133	RF01189	1e-05
RF00133	RF01192	0.00012
RF00134	RF00202	0.0012
RF00134	RF00280	0.00024
RF00134	RF00281	7.8e-05
RF00134	RF00535	0.0018
RF00134	RF02295	0.008
RF00134	RF02408	0.0025
RF00135	RF00476	0.00027
RF00135	RF00493	0.0016
RF00135	RF00611	0.0084
RF00135	RF01172	0.004
RF00135	RF01420	0.0019
RF00135	RF01563	0.0097
RF00135	RF02285	0.00098
RF00136	RF00212	0.0097
RF00136	RF01133	0.0028
RF00137	RF00538	0.0087
RF00138	RF01216	5.8e-05
RF00139	RF00885	0.00044
RF00139	RF03637	1.4e-06
RF00139	RF03709	0.00046
RF00139	RF03747	0.0002
RF00139	RF03845	0.0048
RF00139	RF04052	0.00021
RF00139	RF04054	0.00056
RF00139	RF04154	5.5e-05
RF00139	RF04161	4.7e-08
RF00139	RF04176	1.8e-06
RF00139	RF04217	0.00053
RF00139	RF04241	0.0001
RF00139	RF04258	0.0057
RF00142	RF00205	0.0043
RF00142	RF00361	0.006
RF00143	RF00644	0.0024
RF00143	RF00685	0.0021
RF00143	RF00854	0.00032
RF00143	RF00969	1.4e-05
RF00143	RF01028	0.00022
