family	split	n_sequences
RF00198	test	185
RF00199	val	515
RF00200	train	644
RF00201	test	911
RF00202	train	398
RF00203	train	606
RF00204	train	713
RF00205	train	375
RF00206	train	486
RF00207	train	16
RF00208	train	36
RF00209	train	25
RF00210	train	104
RF00211	train	1461
RF00212	train	839
RF00213	train	1777
RF00214	test	103
RF00215	test	30
RF00216	train	139
RF00217	train	284
RF00218	test	553
RF00220	train	9
RF00221	train	175
RF00222	val	241
RF00223	val	223
RF00224	train	90
RF00225	test	7
RF00226	val	226
RF00227	val	20
RF00228	test	20
RF00229	train	100
RF00230	train	134648
RF00231	train	674
RF00232	test	98
RF00233	test	60
RF00234	train	4204
RF00235	val	5
RF00236	train	52
RF00237	train	1266
RF00238	train	108
RF00239	train	519
RF00240	train	68
RF00241	train	1145
RF00242	val	46
RF00243	train	9
RF00244	train	1089
RF00245	train	751
RF00246	train	640
RF00247	train	954
RF00248	train	391
RF00249	train	241
RF00250	train	64
RF00251	train	602
RF00252	train	19
RF00253	train	194
RF00254	train	2576
RF00255	train	246
RF00256	train	533
RF00257	train	487
RF00258	train	1117
RF00259	val	114
RF00260	train	56
RF00261	train	109
RF00262	train	32
RF00263	train	793
RF00264	val	598
RF00265	train	702
RF00266	train	502
RF00267	train	579
RF00268	train	43
RF00270	train	712
RF00271	train	652
RF00272	test	487
RF00273	train	875
RF00274	train	504
RF00275	val	551
RF00276	train	229
RF00277	train	700
RF00278	train	986
RF00279	train	1068
RF00280	train	346
RF00281	train	554
RF00282	val	108
RF00283	train	281
RF00284	train	630
RF00285	val	162
RF00286	val	755
RF00287	val	143
RF00288	train	551
RF00289	train	314
RF00290	val	2
RF00291	val	67
RF00292	test	22
RF00293	val	8
RF00294	test	21
RF00295	train	25
RF00296	train	634
RF00300	train	435
RF00301	val	52
RF00302	test	895
RF00303	test	772
RF00304	test	738
RF00305	val	18
RF00306	train	4
RF00307	val	179
RF00309	train	2850
RF00310	val	10
RF00311	test	74
RF00312	train	43
RF00313	test	16
RF00314	train	13
RF00315	val	561
RF00316	train	11
RF00317	train	35
RF00318	train	7
RF00319	train	970
RF00320	test	12
RF00321	test	5903
RF00322	train	1732
RF00323	test	3
RF00324	train	618
RF00325	train	1434
RF00326	val	328
RF00327	val	44
RF00328	train	460
RF00329	test	104
RF00330	train	624
RF00331	train	9
RF00332	train	600
RF00333	train	617
RF00334	train	1728
RF00335	train	976
RF00336	test	23
RF00337	val	357
RF00338	test	5
RF00339	train	800
RF00340	val	977
RF00341	test	512
RF00342	train	312
RF00343	train	666
RF00344	train	402
RF00345	train	562
RF00348	test	91
RF00349	test	602
RF00350	val	494
RF00351	val	66
RF00352	train	340
RF00353	train	412
RF00355	test	222
RF00356	train	181
RF00357	train	894
RF00358	train	823
RF00359	train	1014
RF00360	val	573
RF00361	train	63
RF00362	train	16
RF00363	train	2
RF00364	train	8
RF00365	train	3
RF00366	train	6
RF00367	train	1
RF00368	test	231
RF00369	train	245
RF00370	train	157
RF00371	val	71
RF00372	train	79
RF00373	train	2339
RF00374	test	44
RF00375	train	144
RF00376	val	112
RF00377	train	635
RF00378	train	558
RF00379	val	21687
RF00380	val	4944
RF00381	train	295
RF00382	val	295
RF00383	test	196
RF00384	test	11
RF00385	train	19
RF00386	val	155
RF00387	val	103
RF00388	train	7
RF00389	test	41
RF00390	val	4
RF00391	train	2432
RF00392	train	2015
RF00393	test	1221
RF00394	val	242
RF00396	train	915
RF00397	train	720
RF00398	train	860
RF00399	train	638
RF00400	train	715
RF00401	train	348
RF00402	val	845
RF00403	test	557
RF00404	train	499
RF00405	train	903
RF00406	train	1334
RF00407	train	449
RF00408	val	1079
RF00409	train	6169
RF00410	train	2331
RF00411	train	998
RF00412	train	597
RF00413	train	924
RF00414	train	648
RF00415	train	327
RF00416	train	417
RF00417	train	121
RF00418	train	391
RF00419	train	535
RF00420	test	726
RF00421	test	528
RF00422	train	437
RF00423	train	551
RF00424	test	679
RF00425	train	1356
RF00426	train	483
RF00427	test	354
RF00428	train	532
RF00429	train	793
RF00430	train	1010
RF00431	train	1241
RF00432	train	1897
RF00433	train	12
RF00434	test	28
RF00435	train	1105
RF00436	train	147100
RF00437	val	12
RF00438	train	1061
RF00439	train	352
RF00440	train	391
RF00441	val	16
RF00442	val	5623
RF00443	train	619
RF00444	train	1135
RF00445	train	1678
RF00446	train	532
RF00447	train	93
RF00448	test	8
RF00449	test	112
RF00451	train	2112
RF00452	train	1237
RF00453	val	5
RF00454	val	55
RF00455	train	757
RF00456	train	1078
RF00457	test	93
RF00458	train	17
RF00459	test	2777
RF00460	test	344
RF00461	val	88
RF00462	val	11
RF00463	test	18
RF00464	train	450
RF00467	train	68
RF00468	train	55
RF00470	test	29
RF00471	train	69
RF00472	train	76
RF00473	train	83
RF00474	val	65
RF00475	train	119
RF00476	train	1083
RF00477	train	25
RF00478	train	1250
RF00479	train	69
RF00480	val	169
RF00481	train	11
RF00482	train	268
RF00483	val	70
RF00484	test	66
RF00485	train	10047
RF00486	train	490
RF00487	val	509
RF00488	train	30
RF00489	train	571
RF00490	val	986
RF00492	train	223
RF00493	train	386
RF00494	train	769
RF00495	test	65
RF00498	train	3
RF00499	train	5
RF00500	val	3
RF00501	train	12
RF00502	train	3
RF00503	train	27
RF00504	test	25727
RF00505	val	26
RF00506	train	800
RF00507	val	78
RF00509	train	40
RF00510	train	27
RF00511	train	4
RF00512	train	535
RF00513	train	684
RF00514	train	1064
RF00515	train	2296
RF00516	train	966
RF00517	val	2157
RF00518	val	1070
RF00519	train	6325
RF00520	test	197
RF00521	train	4732
RF00522	test	1444
RF00523	train	357
RF00524	val	2389
RF00525	train	104
RF00526	train	41
RF00527	train	40
RF00528	val	84
RF00529	val	77
RF00530	train	64
RF00531	val	35
RF00532	train	92
RF00533	test	38
RF00534	train	238
RF00535	train	87
RF00536	test	43
RF00537	test	46
RF00538	test	54
RF00539	train	21
RF00540	train	63
RF00541	test	16
RF00542	train	78
RF00543	train	108
RF00544	train	49
RF00545	train	109
RF00546	train	82
RF00547	train	128
RF00548	train	2326
RF00549	test	120
RF00550	test	46
RF00551	train	29
RF00552	train	165
RF00553	train	604
RF00554	train	1845
RF00555	train	425
RF00556	val	390
RF00557	train	7790
RF00558	train	4853
RF00559	test	2354
RF00560	train	5140
RF00561	train	2181
RF00562	train	586
RF00563	train	986
RF00564	train	710
RF00565	train	564
RF00566	train	736
RF00567	train	873
RF00568	train	1581
RF00569	train	981
RF00570	train	88
RF00571	train	717
RF00572	train	855
RF00573	val	549
RF00574	train	372
RF00575	train	697
RF00576	train	320
RF00577	train	574
RF00578	train	457
RF00579	train	389
RF00580	train	582
RF00581	train	1623
RF00582	test	702
RF00584	val	98
RF00586	val	486
RF00588	train	469
RF00591	train	284
RF00592	train	276
RF00593	train	630
RF00594	train	167
RF00598	train	721
RF00599	val	687
RF00600	train	768
RF00601	train	638
RF00602	train	234
RF00603	val	121
RF00604	train	853
RF00606	train	314
RF00607	train	242
RF00608	train	429
RF00609	train	553
RF00610	train	84
RF00611	train	642
RF00612	train	478
RF00613	train	644
RF00614	test	1555
RF00615	train	31
RF00616	test	148
RF00617	val	57
RF00618	train	1454
RF00619	val	7529
RF00620	test	51
RF00621	test	70
RF00622	val	5240
RF00623	train	644
RF00624	train	667
RF00625	train	510
RF00626	train	2
RF00627	train	550
RF00628	val	804
RF00629	train	761
RF00630	test	854
RF00632	train	3
RF00634	val	5963
RF00635	test	126
RF00636	test	492
RF00637	train	160
RF00638	train	2127
RF00639	train	704
RF00640	train	100
RF00641	train	850
RF00642	train	505
RF00643	train	1853
RF00644	train	671
RF00645	train	3454
RF00646	train	545
RF00647	train	152
RF00648	train	613
RF00649	train	352
RF00650	train	252
RF00651	train	704
RF00652	test	977
RF00653	train	296
RF00654	train	622
RF00655	train	93
RF00656	train	544
RF00657	train	555
RF00658	train	160
RF00659	train	159
RF00660	train	150
RF00661	train	363
RF00662	train	375
RF00663	train	115
RF00664	train	315
RF00665	train	393
RF00666	train	66
RF00667	train	633
RF00668	train	798
RF00669	train	269
RF00670	train	89
RF00671	train	345
RF00672	train	557
RF00673	train	263
RF00674	train	174
RF00675	train	233
RF00676	train	10
RF00677	train	449
RF00678	train	89
RF00679	train	354
RF00680	train	54
RF00681	train	12
RF00682	train	264
RF00683	train	130
RF00684	train	194
RF00685	train	169
RF00686	train	399
RF00687	train	13
RF00688	train	480
RF00689	train	491
RF00690	train	446
RF00691	train	684
RF00692	train	339
RF00693	train	348
RF00694	train	218
RF00695	train	494
RF00696	train	340
RF00697	train	43
RF00698	train	152
RF00699	train	39
RF00700	train	220
RF00701	train	301
RF00702	train	195
RF00703	train	193
RF00704	train	316
RF00705	train	281
RF00706	train	334
RF00707	train	34
RF00708	train	171
RF00709	train	77
RF00710	train	58
RF00712	train	439
RF00713	train	49
RF00714	train	254
RF00715	train	99
RF00716	train	45
RF00717	train	101
RF00718	train	27
RF00719	train	61
RF00720	train	108
RF00721	train	35
RF00722	train	338
RF00723	train	76
RF00724	train	102
RF00725	train	61
RF00726	train	331
RF00727	train	142
RF00728	train	54
RF00729	train	103
RF00730	train	116
RF00731	train	226
RF00732	train	95
RF00733	train	61
RF00734	train	7
RF00735	train	233
RF00736	train	447
RF00737	train	69
RF00739	train	20
RF00740	train	38
RF00741	train	11
RF00742	train	215
RF00743	train	48
RF00744	train	42
RF00745	train	210
RF00746	train	248
RF00747	train	78
RF00748	train	34
RF00749	train	214
RF00750	train	375
RF00751	train	80
RF00752	train	115
RF00753	train	68
RF00754	train	350
RF00755	train	38
RF00756	train	106
RF00757	train	104
RF00758	train	46
RF00760	train	62
RF00761	train	47
RF00762	train	54
RF00763	train	73
RF00764	train	202
RF00765	train	41
RF00766	train	91
RF00767	train	104
RF00768	train	135
RF00769	train	18
RF00770	train	33
RF00771	train	44
RF00772	train	57
RF00773	train	22
RF00774	train	8
RF00775	train	37
RF00776	train	4
RF00777	train	80
RF00778	train	148
RF00779	train	72
RF00780	train	54
RF00781	train	33
RF00782	test	2984
RF00783	train	72
RF00784	train	97
RF00785	train	11
RF00786	train	9
RF00787	train	17
RF00788	train	17
RF00789	train	35
RF00790	train	7
RF00791	train	7
RF00792	train	130
RF00793	train	24
RF00794	train	12
RF00795	train	8
RF00796	train	8
RF00797	train	6
RF00798	train	10
RF00799	train	7
RF00801	train	11
RF00802	train	8
RF00803	train	183
RF00804	train	12
RF00805	train	3
RF00806	train	71
RF00807	test	17
RF00808	train	43
RF00809	train	8
RF00810	train	15
RF00811	train	26
RF00812	train	42
RF00813	train	116
RF00814	train	30
RF00815	train	11
RF00816	train	6
RF00817	train	7
RF00818	train	16
RF00819	train	7
RF00820	train	5
RF00821	train	11
RF00822	train	46
RF00823	train	4
RF00824	train	48
RF00825	train	294
RF00826	train	9
RF00827	train	14
RF00828	train	11
RF00829	train	70
RF00830	train	23
RF00831	train	8
RF00832	train	291
RF00833	train	8
RF00834	train	12
RF00835	train	8
RF00836	train	22
RF00837	train	13
RF00838	train	330
RF00839	train	60
RF00840	train	82
RF00841	train	45
RF00842	train	169
RF00843	train	28
RF00844	train	154
RF00845	train	38
RF00846	train	53
RF00847	train	8
RF00848	train	32
RF00849	train	11
RF00850	train	7
RF00851	train	5
RF00852	train	11
RF00853	train	12
RF00854	train	20
RF00855	train	11
RF00856	train	11
RF00857	train	6
RF00858	train	77
RF00859	train	39
RF00861	train	41
RF00862	train	40
RF00863	train	3
RF00864	train	2
RF00865	train	2327
RF00866	train	5
RF00867	train	6
RF00868	train	7
RF00869	train	3
RF00870	train	9
RF00872	train	38
RF00873	train	157
RF00874	train	4
RF00875	train	23
RF00876	train	31
RF00877	train	48
RF00878	train	85
RF00879	train	34
RF00883	train	28
RF00884	train	9
RF00885	train	824
RF00886	train	667
RF00887	train	84
RF00888	train	13
RF00890	train	17
RF00891	train	24
RF00892	train	597
RF00893	train	156
RF00894	train	9
RF00895	train	12
RF00896	train	4
RF00897	train	35
RF00898	train	15
RF00899	train	7
RF00900	train	26
RF00901	train	29
RF00902	train	6
RF00903	train	5
RF00904	train	10
RF00905	train	13
RF00906	train	5548
RF00907	train	5
RF00908	train	84
RF00909	train	17
RF00910	train	46
RF00911	train	23
RF00912	train	129
RF00914	train	14
RF00915	train	23
RF00917	train	37
RF00918	train	26
RF00919	train	17
RF00920	train	19
RF00921	train	65
RF00922	train	8
RF00925	train	8
RF00926	train	19
RF00927	train	54
RF00928	train	112
RF00929	train	4523
RF00931	train	18
RF00932	train	6
RF00933	train	106
RF00934	train	3
RF00935	train	51
RF00936	train	32
RF00937	train	61
RF00939	train	46
RF00940	test	4
RF00941	train	5
RF00942	train	24
RF00943	train	36
RF00945	train	3
RF00946	train	51
RF00947	train	87
RF00948	train	53
RF00949	train	3
RF00950	train	131
RF00951	train	9520
RF00952	train	89
RF00953	train	2
RF00954	train	36
RF00956	train	47
RF00957	test	54
RF00958	train	11
RF00959	train	7
RF00960	train	12
RF00961	train	64
RF00962	train	26
RF00963	train	51
RF00964	train	20
RF00965	train	40
RF00966	train	68
RF00967	train	3
RF00968	train	15
RF00969	train	22
RF00970	train	17
RF00971	train	10
RF00972	train	18
RF00973	train	12
RF00974	train	38
RF00975	train	179
RF00976	train	27
RF00977	train	9
RF00978	train	15
RF00979	train	13
RF00980	train	25
RF00981	train	17
RF00983	train	13
RF00984	train	34
RF00985	train	9
RF00986	val	18
RF00987	train	36
RF00988	train	15
RF00989	train	101
RF00990	train	13
RF00991	train	68
RF00992	train	12
RF00993	train	2
RF00994	train	99
RF00995	train	55
RF00996	train	59
RF00997	train	21
RF00998	train	11
RF00999	test	5
RF01000	train	12
RF01001	train	27
RF01002	train	8
RF01003	train	10
RF01004	train	7
RF01005	train	115
RF01006	train	5
RF01007	train	18
RF01008	train	8
RF01009	train	3
RF01010	train	84
RF01011	train	26
RF01012	train	25
RF01013	train	39
RF01014	train	50
RF01015	train	86
RF01016	train	70
RF01018	train	10
RF01019	train	11
RF01020	train	20
RF01021	train	14
RF01022	train	7
RF01023	train	8
RF01024	train	31
RF01025	train	15
RF01026	train	171
RF01027	train	14
RF01028	train	35
RF01029	train	9
RF01030	train	10
RF01031	train	13
RF01032	test	11
RF01033	train	40
RF01034	train	11
RF01035	train	4
RF01036	train	7
RF01037	train	3
RF01038	train	20
RF01039	train	13
RF01040	train	11
RF01041	train	19
RF01042	train	16
RF01043	train	21
RF01044	train	92
RF01045	train	7352
RF01046	train	11
RF01047	train	19
RF01050	train	13
RF01051	test	22210
RF01052	train	214
RF01053	test	2
RF01054	val	290
RF01055	test	4355
RF01056	val	173
RF01057	test	4964
RF01059	train	55
RF01061	train	1552
RF01064	train	12
RF01065	train	443
RF01066	train	844
RF01067	val	300
RF01068	val	1759
RF01069	train	472
RF01070	val	1132
RF01071	train	3050
RF01072	train	37
RF01073	test	1356
RF01074	val	20
RF01075	val	2
RF01076	test	3
RF01077	train	4
RF01078	val	4
RF01079	val	2
RF01080	train	4
RF01081	val	3
RF01082	train	4
RF01084	train	18
RF01085	train	2
RF01087	train	7
RF01088	test	3
RF01089	train	135
RF01090	test	33
RF01091	val	8
RF01092	test	1
RF01093	train	286
RF01094	test	2
RF01095	val	2
RF01096	test	2
RF01097	test	1799
RF01098	test	4
RF01099	val	47
RF01100	val	1
RF01101	val	3
RF01102	val	2
RF01103	test	2
RF01104	val	4
RF01105	test	1
RF01106	val	2
RF01107	val	1
RF01108	test	1
RF01113	test	3
RF01116	test	550
RF01117	train	4
RF01119	train	4
RF01120	train	14
RF01121	train	4
RF01122	train	7
RF01123	train	3
RF01124	train	6
RF01125	train	4
RF01126	train	19
RF01127	train	4
RF01128	train	7
RF01129	train	3
RF01130	train	41
RF01131	train	11
RF01132	train	3
RF01133	train	58
RF01134	train	11
RF01135	train	13
RF01136	train	9
RF01137	train	2
RF01138	train	8
RF01139	train	19
RF01140	train	34
RF01141	train	5
RF01142	train	4
RF01143	val	1
RF01144	train	16
RF01145	train	18
RF01146	test	2
RF01147	train	6
RF01149	train	4
RF01150	train	11
RF01151	test	95
RF01152	train	20
RF01153	train	13
RF01155	test	357
RF01156	train	210
RF01157	train	9
RF01158	val	41
RF01159	train	89
RF01160	val	20
RF01161	test	300
RF01162	val	22
RF01163	test	227
RF01164	train	83
RF01165	train	9
RF01166	train	26
RF01167	test	9
RF01168	train	120
RF01169	train	113
RF01170	train	310
RF01171	train	3
RF01172	train	9
RF01173	val	110
RF01174	test	109
RF01175	train	16
RF01176	train	38
RF01177	train	84
RF01178	train	449
RF01179	train	227
RF01180	test	36
RF01181	train	89
RF01182	train	350
RF01183	train	100
RF01184	val	70
RF01185	train	870
RF01186	train	334
RF01188	train	165
RF01189	train	8
RF01190	val	7
RF01191	train	673
RF01192	train	539
RF01193	test	359
RF01194	train	28
RF01195	train	31
RF01196	val	17
RF01197	val	63
RF01198	train	706
RF01199	val	5
RF01200	train	374
RF01201	train	72
RF01202	train	13
RF01203	train	106
RF01204	train	29
RF01205	test	5
RF01206	test	538
RF01207	train	375
RF01208	train	567
RF01209	train	91
RF01210	test	13452
RF01211	train	142
RF01212	val	61
RF01213	val	646
RF01214	train	200
RF01215	val	704
RF01216	test	45
RF01218	train	83
RF01219	test	1696
RF01220	test	459
RF01221	train	18
RF01222	train	8
RF01223	val	54
RF01224	val	591
RF01225	train	7198
RF01226	train	16
RF01227	test	832
RF01228	test	421
RF01229	val	653
RF01230	train	548
RF01231	train	1206
RF01232	test	19
RF01233	train	1164
RF01234	train	621
RF01235	val	5
RF01236	val	355
RF01237	test	31
RF01238	train	26
RF01239	train	62
RF01240	test	34
RF01241	train	1015
RF01242	train	600
RF01243	val	13
RF01244	val	33
RF01245	test	9
RF01246	test	6
RF01247	test	151
RF01248	test	87
RF01249	train	41
RF01250	val	23
RF01251	train	70
RF01252	test	79
RF01253	train	69
RF01254	test	42
RF01255	train	75
RF01256	train	88
RF01257	train	37
RF01258	train	91
RF01259	train	26
RF01260	test	27
RF01261	train	26
RF01262	train	513
RF01263	train	453
RF01264	train	16
RF01265	train	43
RF01266	val	27
RF01267	train	58
RF01268	train	594
RF01269	test	389
RF01270	train	7
RF01271	train	27
RF01272	train	9
RF01273	train	14
RF01274	train	51
RF01275	train	28
RF01276	train	4
RF01277	train	482
RF01278	train	223
RF01279	train	403
RF01280	train	486
RF01281	val	449
RF01283	train	260
RF01284	train	777
RF01285	train	991
RF01286	train	453
RF01287	train	523
RF01288	train	387
RF01289	train	22
RF01290	train	375
RF01291	val	559
RF01292	train	765
RF01293	val	45
RF01294	train	225
RF01295	train	549
RF01296	train	983
RF01297	train	2
RF01298	train	8
RF01299	train	658
RF01300	val	248
RF01301	train	40
RF01302	test	672
RF01303	train	9
RF01304	train	67
RF01305	train	25
RF01306	train	5
RF01307	train	31
RF01308	train	37
RF01309	train	50
RF01310	train	6
RF01312	train	7
RF01313	train	25
RF01314	train	14
RF01315	test	464
RF01316	test	125
RF01317	val	899
RF01318	train	351
RF01319	test	57
RF01320	test	159
RF01321	train	9
RF01322	val	107
RF01323	train	22
RF01324	val	9
RF01325	val	83
RF01326	val	19
RF01327	test	13
RF01328	train	3
RF01329	val	129
RF01330	val	313
RF01331	train	3
RF01332	test	9
RF01333	val	14
RF01334	train	12
RF01335	val	107
RF01336	val	61
RF01337	test	101
RF01338	train	17
RF01339	test	115
RF01340	val	137
RF01341	test	4
RF01342	train	2
RF01343	val	207
RF01344	val	38
RF01345	train	12
RF01346	train	5
RF01347	train	36
RF01348	test	5
RF01349	test	3
RF01350	val	2
RF01351	val	4
RF01352	test	54
RF01353	test	13
RF01354	val	6
RF01355	test	5
RF01356	train	38
RF01357	train	14
RF01358	val	13
RF01359	train	2
RF01360	test	4
RF01361	val	3
RF01362	train	54
RF01363	train	39
RF01364	test	2
RF01365	test	1
RF01366	test	6
RF01367	train	11
RF01368	val	2
RF01369	train	12
RF01370	train	36
RF01371	test	12
RF01373	train	8
RF01374	val	5
RF01375	val	1
RF01376	train	24
RF01377	test	1
RF01378	test	2
RF01379	train	6
RF01381	test	20
RF01383	val	66
RF01384	train	4
RF01385	test	159
RF01386	train	12
RF01387	train	66
RF01388	train	7
RF01389	val	11
RF01390	train	139
RF01391	train	9
RF01392	test	18
RF01393	train	37
RF01394	train	1937
RF01395	train	108
RF01396	test	547
RF01397	train	17
RF01398	test	8
RF01399	test	11
RF01400	train	147
RF01401	val	27
RF01402	train	14
RF01403	val	4
RF01404	test	2
RF01405	train	1042
RF01406	test	14
RF01407	train	74
RF01408	train	171
RF01409	train	31
RF01410	test	1334
RF01411	test	591
RF01412	train	1761
RF01413	train	3329
RF01414	test	131
RF01415	val	21
RF01416	train	30
RF01417	train	187
RF01418	train	59
RF01419	val	4270
RF01420	train	349
RF01421	val	1438
RF01422	train	269
RF01423	train	318
RF01424	train	497
RF01425	val	15
RF01426	train	322
RF01427	val	234
RF01428	train	528
RF01429	train	67
RF01430	train	657
RF01431	train	688
RF01432	train	569
RF01433	val	692
RF01434	train	3
RF01435	train	4
RF01436	train	3
RF01437	train	3
RF01438	train	74
RF01439	train	3
RF01440	test	3
RF01441	train	2
RF01442	val	3
RF01443	train	3
RF01444	train	3
RF01445	train	3
RF01446	val	2
RF01447	train	3
RF01448	test	2
RF01449	train	3
RF01450	train	2
RF01451	test	1
RF01452	test	5
RF01453	test	3
RF01454	test	3
RF01455	val	131
RF01456	train	122
RF01457	train	22
RF01458	val	96
RF01459	train	10
RF01460	train	14
RF01461	train	6
RF01462	test	7
RF01463	val	5
RF01464	train	25
RF01465	train	3
RF01466	val	7
RF01467	val	8
RF01468	train	12
RF01469	train	9
RF01470	train	261
RF01471	test	47
RF01472	train	14
RF01473	train	23
RF01474	train	14
RF01475	test	15
RF01476	train	12
RF01477	train	5
RF01478	train	17
RF01479	train	11
RF01480	train	4
RF01481	train	16
RF01482	train	1198
RF01483	test	5
RF01484	test	4
RF01485	train	37
RF01486	val	8
RF01487	train	25
RF01488	val	6
RF01489	train	127
RF01490	train	9
RF01491	train	19
RF01492	val	758
RF01493	val	5
RF01494	train	186
RF01495	train	91
RF01496	train	566
RF01497	train	5868
RF01498	train	468
RF01499	train	126
RF01500	val	232
RF01501	val	130
RF01502	train	732
RF01503	train	15
RF01504	train	177
RF01505	train	454
RF01506	train	353
RF01507	test	317
RF01508	test	8
RF01509	train	485
RF01510	val	54
RF01511	train	518
RF01512	train	625
RF01513	train	504
RF01514	train	515
RF01515	test	516
RF01516	val	2
RF01517	test	154
RF01518	val	202
RF01519	test	50
RF01520	test	6
RF01521	test	67
RF01522	val	36
RF01523	val	14
RF01524	test	17
RF01525	val	20
RF01526	train	9
RF01527	train	100
RF01528	train	45
RF01529	val	176
RF01530	train	94
RF01531	val	16
RF01532	test	17
RF01533	train	14
RF01534	train	6
RF01535	val	13
RF01536	val	19
RF01537	train	16
RF01538	test	20
RF01539	train	40
RF01540	test	26
RF01541	val	30
RF01542	test	14
RF01543	train	28
RF01544	train	12
RF01545	train	7
RF01546	train	39
RF01547	train	35
RF01548	test	28
RF01549	test	22
RF01550	val	20
RF01551	val	6
RF01552	val	18
RF01553	val	15
RF01554	test	23
RF01555	val	17
RF01556	train	14
RF01557	val	14
RF01558	test	15
RF01559	train	2
RF01560	test	6
RF01561	train	6
RF01562	val	1
RF01563	train	3
RF01564	test	1
RF01565	train	2
RF01566	train	5
RF01567	val	1
RF01568	test	2
RF01569	train	3
RF01570	train	4
RF01572	val	2
RF01573	test	2
RF01574	train	2
RF01575	val	2
RF01576	test	1
RF01577	train	20
RF01578	train	12
RF01579	train	12
RF01580	train	4
RF01581	train	72
RF01582	train	27
RF01583	train	11
RF01584	train	5
RF01585	test	14
RF01586	train	12
RF01587	train	11
RF01588	train	32
RF01589	train	2
RF01590	train	5
RF01591	train	13
RF01592	train	16
RF01593	val	14
RF01594	val	13
RF01595	test	13
RF01596	train	19
RF01597	test	17
RF01598	train	15
RF01599	train	11
RF01600	train	15
RF01601	val	15
RF01602	train	14
RF01603	val	11
RF01604	train	11
RF01605	train	14
RF01606	train	9
RF01607	train	20
RF01608	train	11
RF01609	val	9
RF01610	test	20
RF01611	train	21
RF01612	train	12
RF01613	train	24
RF01614	test	10
RF01615	train	49
RF01617	val	13
RF01618	train	18
RF01619	train	8
